Id,Neighborhood,Neighborhood_Category, SalePrice ,Log_SalePrice, AvgPrice_Neighborhood ,OverallQual,YearBuilt,ExterQual,GrLivArea
534,BrkSide,Low," 39,300 ",10.58," 124,834 ",1,1946,Fa,334
637,BrkSide,Low," 60,000 ",11.00," 124,834 ",2,1936,Fa,800
711,BrkSide,Low," 52,000 ",10.86," 124,834 ",3,1935,Gd,729
1143,CollgCr,Medium," 424,870 ",12.96," 197,966 ",8,2006,Gd,2828
725,Edwards,Low," 320,000 ",12.68," 128,220 ",9,2007,Ex,1698
1381,Edwards,Low," 58,500 ",10.98," 128,220 ",3,1914,TA,864
1424,Edwards,Low," 274,970 ",12.52," 128,220 ",6,1966,Gd,2201
132,Gilbert,Medium," 244,000 ",12.40," 192,855 ",6,2000,Gd,2054
160,Gilbert,Medium," 320,000 ",12.68," 192,855 ",7,2005,Gd,2462
278,Gilbert,Medium," 141,000 ",11.86," 192,855 ",4,1951,TA,864
738,Gilbert,Medium," 239,900 ",12.39," 192,855 ",8,2005,Gd,1801
904,Gilbert,Medium," 240,000 ",12.39," 192,855 ",7,2006,Gd,1670
1108,Gilbert,Medium," 274,725 ",12.52," 192,855 ",7,2006,Gd,2021
1128,Gilbert,Medium," 259,000 ",12.46," 192,855 ",7,2004,Gd,1530
1389,Gilbert,Medium," 377,500 ",12.84," 192,855 ",9,2006,Ex,1746
31,IDOTRR,Low," 40,000 ",10.60," 100,124 ",4,1920,TA,1317
496,IDOTRR,Low," 34,900 ",10.46," 100,124 ",4,1920,TA,720
917,IDOTRR,Low," 35,311 ",10.47," 100,124 ",2,1949,TA,480
818,Mitchel,Medium," 271,000 ",12.51," 156,270 ",8,2002,Gd,1689
1454,Mitchel,Medium," 84,500 ",11.34," 156,270 ",5,2006,TA,1140
71,NAmes,Medium," 244,000 ",12.40," 145,847 ",7,1973,TA,2223
131,NAmes,Medium," 226,000 ",12.33," 145,847 ",7,1966,TA,2157
198,NAmes,Medium," 235,000 ",12.37," 145,847 ",8,1918,Gd,3112
288,NAmes,Medium," 88,000 ",11.39," 145,847 ",4,1971,TA,858
325,NAmes,Medium," 242,000 ",12.40," 145,847 ",7,1967,Gd,2978
343,NAmes,Medium," 87,500 ",11.38," 145,847 ",3,1949,TA,1040
643,NAmes,Medium," 345,000 ",12.75," 145,847 ",8,1972,Gd,2704
889,NAmes,Medium," 268,000 ",12.50," 145,847 ",8,1970,Gd,2217
935,NAmes,Medium," 242,000 ",12.40," 145,847 ",7,1960,TA,2069
1251,NAmes,Medium," 244,000 ",12.40," 145,847 ",7,1968,Gd,2110
1382,NAmes,Medium," 237,500 ",12.38," 145,847 ",6,1970,TA,2117
1413,NAmes,Medium," 90,000 ",11.41," 145,847 ",4,1949,TA,1040
692,NoRidge,High," 755,000 ",13.53," 335,295 ",10,1994,Ex,4316
1170,NoRidge,High," 625,000 ",13.35," 335,295 ",10,1995,Gd,3627
1183,NoRidge,High," 745,000 ",13.52," 335,295 ",10,1996,Gd,4476
127,NPkVill,Medium," 128,000 ",11.76," 142,694 ",6,1976,TA,958
1422,NPkVill,Medium," 127,500 ",11.76," 142,694 ",6,1977,TA,1069
633,NWAmes,Medium," 82,500 ",11.32," 189,050 ",7,1977,TA,1411
746,NWAmes,Medium," 299,800 ",12.61," 189,050 ",8,1976,Ex,2715
186,OldTown,Low," 475,000 ",13.07," 128,225 ",10,1892,Gd,3608
305,OldTown,Low," 295,000 ",12.59," 128,225 ",7,1880,TA,3493
584,OldTown,Low," 325,000 ",12.69," 128,225 ",10,1893,Ex,2775
748,OldTown,Low," 265,979 ",12.49," 128,225 ",7,1880,Gd,2640
875,OldTown,Low," 66,500 ",11.10," 128,225 ",5,1941,TA,1131
969,OldTown,Low," 37,900 ",10.54," 128,225 ",3,1910,TA,968
1329,OldTown,Low," 256,000 ",12.45," 128,225 ",6,1920,Gd,2792
1338,OldTown,Low," 52,500 ",10.87," 128,225 ",4,1941,TA,693
1433,OldTown,Low," 64,500 ",11.07," 128,225 ",4,1927,TA,968
18,Sawyer,Low," 90,000 ",11.41," 136,793 ",4,1967,TA,1296
463,Sawyer,Low," 62,383 ",11.04," 136,793 ",5,1965,TA,864
1138,Sawyer,Low," 94,000 ",11.45," 136,793 ",5,1875,TA,1020
1144,Sawyer,Low," 80,000 ",11.29," 136,793 ",5,1959,TA,1006
384,SawyerW,Medium," 76,000 ",11.24," 186,556 ",6,1928,TA,784
1101,SWISU,Low," 60,000 ",11.00," 142,591 ",2,1920,TA,438
1377,SWISU,Low," 91,000 ",11.42," 142,591 ",6,1930,TA,790
